データコード	FM08'FXERD01	FM08'FXERD02	FM08'FXERD03	FM08'FXERD04
系列名称	"東京市場　ドル・円　スポット　9時時点"	"東京市場　ドル・円　スポット　最高値"	"東京市場　ドル・円　スポット　最安値"	"東京市場　ドル・円　スポット　17時時点"
2026/02/01	NA	NA	NA	NA
2026/02/02	155.2	155.51	154.55	154.89
2026/02/03	155.47	155.61	155.3	155.41
2026/02/04	155.81	156.47	155.7	156.43
2026/02/05	156.9	157.2	156.69	157.12
2026/02/06	156.81	157.06	156.56	156.89
2026/02/07	NA	NA	NA	NA
2026/02/08	NA	NA	NA	NA
2026/02/09	157.24	157.66	156.23	156.6
2026/02/10	156.13	156.3	155.1	155.57
2026/02/11	NA	NA	NA	NA
2026/02/12	153.27	153.54	152.28	153.01
2026/02/13	152.78	153.59	152.7	153.4
2026/02/14	NA	NA	NA	NA
2026/02/15	NA	NA	NA	NA
2026/02/16	152.79	153.38	152.64	153.35
2026/02/17	153.55	153.75	152.84	153.09
2026/02/18	153.14	153.7	153.07	153.68
2026/02/19	154.7	155.32	154.63	154.97
2026/02/20	155.2	155.5	154.9	155.5
2026/02/21	NA	NA	NA	NA
2026/02/22	NA	NA	NA	NA
2026/02/23	NA	NA	NA	NA
2026/02/24	154.67	156.16	154.53	156.11
2026/02/25	155.91	156.04	155.35	155.92
2026/02/26	156.18	156.32	155.71	156.04
2026/02/27	155.87	156.15	155.54	156.09
2026/02/28	NA	NA	NA	NA
2026/03/01	NA	NA	NA	NA
2026/03/02	156.65	157.04	156	156.99
2026/03/03	157.28	157.59	157.16	157.42
2026/03/04	157.77	157.86	157.19	157.46
2026/03/05	156.98	157.27	156.46	157.26
2026/03/06	157.55	157.91	157.38	157.54
2026/03/07	NA	NA	NA	NA
2026/03/08	NA	NA	NA	NA
2026/03/09	158.42	158.9	158.07	158.46
2026/03/10	157.87	157.95	157.29	157.32
2026/03/11	158.11	158.38	157.87	158.23
2026/03/12	159.08	159.23	158.78	158.8
2026/03/13	159.24	159.68	159.02	159.43
2026/03/14	NA	NA	NA	NA
2026/03/15	NA	NA	NA	NA
2026/03/16	159.56	159.68	159.18	159.29
2026/03/17	159.14	159.5	159.08	159.23
2026/03/18	158.91	159.14	158.57	158.77
2026/03/19	159.82	159.83	159.21	159.22
2026/03/20	NA	NA	NA	NA
2026/03/21	NA	NA	NA	NA
2026/03/22	NA	NA	NA	NA
2026/03/23	159.15	159.65	159.04	159.59
2026/03/24	158.49	158.79	158.29	158.5
2026/03/25	158.7	159.16	158.57	159.14
2026/03/26	159.4	159.53	159.29	159.5
2026/03/27	159.73	159.98	159.46	159.95
2026/03/28	NA	NA	NA	NA
2026/03/29	NA	NA	NA	NA
2026/03/30	160.23	160.44	159.59	159.78
2026/03/31	159.84	159.97	159.5	159.63
2026/04/01	158.59	159	158.28	158.8
2026/04/02	158.72	159.73	158.56	159.57
2026/04/03	159.49	159.71	159.44	159.6
2026/04/04	NA	NA	NA	NA
2026/04/05	NA	NA	NA	NA
2026/04/06	159.79	159.82	159.35	159.38
2026/04/07	159.7	159.92	159.67	159.87
2026/04/08	158.71	159.72	158.06	158.21
2026/04/09	158.65	159	158.55	158.97
2026/04/10	159.1	159.36	159.03	159.35
2026/04/11	NA	NA	NA	NA
2026/04/12	NA	NA	NA	NA
2026/04/13	159.68	159.85	159.56	159.61
2026/04/14	159.23	159.39	158.96	159.07
2026/04/15	158.81	159.06	158.74	158.94
2026/04/16	158.82	158.95	158.27	158.87
2026/04/17	159.22	159.54	159.05	159.27
2026/04/18	NA	NA	NA	NA
2026/04/19	NA	NA	NA	NA
2026/04/20	159.17	159.2	158.74	158.97
2026/04/21	158.84	159.06	158.79	159.02
2026/04/22	159.37	159.45	159.11	159.22
2026/04/23	159.49	159.7	159.3	159.6
2026/04/24	159.76	159.84	159.61	159.68
2026/04/25	NA	NA	NA	NA
2026/04/26	NA	NA	NA	NA
2026/04/27	159.58	159.6	159.15	159.24
2026/04/28	159.36	159.6	158.96	159.53
2026/04/29	NA	NA	NA	NA
2026/04/30	160.19	160.72	159.8	160.14
2026/05/01	156.98	157.32	155.5	156.62
2026/05/02	NA	NA	NA	NA
2026/05/03	NA	NA	NA	NA
2026/05/04	NA	NA	NA	NA
2026/05/05	NA	NA	NA	NA
2026/05/06	NA	NA	NA	NA
2026/05/07	156.53	156.52	156.02	156.27
2026/05/08	156.86	156.99	156.71	156.84
2026/05/09	NA	NA	NA	NA
2026/05/10	NA	NA	NA	NA
2026/05/11	156.86	157.17	156.82	157.12
2026/05/12	157.25	157.75	156.76	157.51
2026/05/13	157.68	157.85	157.57	157.85
