"年"	"月"	"出荷量"	"価格"	"降水量.0"	"降水量.1"	"降水量.2"	"降水量.3"	"気温.0"	"気温.1"	"気温.2"	"気温.3"	"日照時間.0"	"日照時間.1"	"日照時間.2"	"日照時間.3"
2004	1	67963	83.6683	9	1419	228	125.5	5.9	9	14.1	17.3	204.6	186.1	87.4	138.1
2004	2	66717	88.5138	18	9	1419	228	8.1	5.9	9	14.1	215.9	204.6	186.1	87.4
2004	3	67222	101.8308	121.5	18	9	1419	9.2	8.1	5.9	9	168.5	215.9	204.6	186.1
2004	4	65087	87.2524	76	121.5	18	9	15.8	9.2	8.1	5.9	229.7	168.5	215.9	204.6
2004	5	61161	75.08	132	76	121.5	18	18.9	15.8	9.2	8.1	135.4	229.7	168.5	215.9
2004	6	60318	90.2532	190.5	132	76	121.5	23	18.9	15.8	9.2	185.9	135.4	229.7	168.5
2004	7	62812	79.8417	20	190.5	132	76	27.5	23	18.9	15.8	249.3	185.9	135.4	229.7
2004	8	69453	75.1271	75.5	20	190.5	132	26.7	27.5	23	18.9	196.9	249.3	185.9	135.4
2004	9	83082	85.6972	266	75.5	20	190.5	24.7	26.7	27.5	23	151.5	196.9	249.3	185.9
2004	10	77392	159.2201	532	266	75.5	20	17.2	24.7	26.7	27.5	115.9	151.5	196.9	249.3
2004	11	73309	97.2975	154.5	532	266	75.5	15.2	17.2	24.7	26.7	159.5	115.9	151.5	196.9
2004	12	78872	64.3606	1657	154.5	532	266	9.6	15.2	17.2	24.7	170.8	159.5	115.9	151.5
2005	1	65266	67.448	103.5	1657	154.5	532	6.3	9.6	15.2	17.2	205	170.8	159.5	115.9
2005	2	64986	87.6104	53.5	103.5	1657	154.5	6	6.3	9.6	15.2	146.3	205	170.8	159.5
2005	3	67730	87.6518	81	53.5	103.5	1657	8.8	6	6.3	9.6	171.4	146.3	205	170.8
2005	4	62594	92.7512	95	81	53.5	103.5	14.4	8.8	6	6.3	213.3	171.4	146.3	205
2005	5	62489	75.7943	97	95	81	53.5	16.9	14.4	8.8	6	167.2	213.3	171.4	146.3
2005	6	59906	62.6153	168.5	97	95	81	22.2	16.9	14.4	8.8	107.1	167.2	213.3	171.4
2005	7	60090	76.598	180	168.5	97	95	24.9	22.2	16.9	14.4	116.7	107.1	167.2	213.3
2005	8	64877	80.4392	253	180	168.5	97	27.4	24.9	22.2	16.9	187.1	116.7	107.1	167.2
2005	9	81375	87.0544	56	253	180	168.5	24.3	27.4	24.9	22.2	178	187.1	116.7	107.1
2005	10	96464	71.3396	183.5	56	253	180	18.8	24.3	27.4	24.9	110.9	178	187.1	116.7
2005	11	81450	57.7641	40	183.5	56	253	12.9	18.8	24.3	27.4	183.5	110.9	178	187.1
2005	12	79562	67.666	992	40	183.5	56	6.2	12.9	18.8	24.3	225.9	183.5	110.9	178
2006	1	63192	95.6871	107	992	40	183.5	4.7	6.2	12.9	18.8	162	225.9	183.5	110.9
2006	2	61985	109.8316	112	107	992	40	6.5	4.7	6.2	12.9	123.1	162	225.9	183.5
2006	3	68901	100.9903	81.5	112	107	992	9.6	6.5	4.7	6.2	171.3	123.1	162	225.9
2006	4	64225	98.3879	113.5	81.5	112	107	13.3	9.6	6.5	4.7	152.7	171.3	123.1	162
2006	5	62327	92.5213	100.5	113.5	81.5	112	18.5	13.3	9.6	6.5	129.2	152.7	171.3	123.1
2006	6	62515	81.4181	124.5	100.5	113.5	81.5	21.9	18.5	13.3	9.6	81.5	129.2	152.7	171.3
2006	7	58381	94.4286	115.5	124.5	100.5	113.5	25.1	21.9	18.5	13.3	67	81.5	129.2	152.7
2006	8	68729	91.93	168.5	115.5	124.5	100.5	26.8	25.1	21.9	18.5	162.5	67	81.5	129.2
2006	9	87473	80.7551	158.5	168.5	115.5	124.5	23.2	26.8	25.1	21.9	127	162.5	67	81.5
2006	10	95630	55.048	335	158.5	168.5	115.5	19.3	23.2	26.8	25.1	151.3	127	162.5	67
2006	11	75222	43.9819	109.5	335	158.5	168.5	14.1	19.3	23.2	26.8	150.2	151.3	127	162.5
2006	12	75015	45.6304	671	109.5	335	158.5	9.2	14.1	19.3	23.2	145.7	150.2	151.3	127
2007	1	63946	50.0231	42.5	671	109.5	335	7.4	9.2	14.1	19.3	171.8	145.7	150.2	151.3
2007	2	59016	51.4768	77	42.5	671	109.5	8.4	7.4	9.2	14.1	183.9	171.8	145.7	150.2
2007	3	67038	67.2188	52	77	42.5	671	10.6	8.4	7.4	9.2	179.9	183.9	171.8	145.7
2007	4	55880	84.9222	121	52	77	42.5	13.5	10.6	8.4	7.4	149.8	179.9	183.9	171.8
2007	5	57955	81.6609	130.5	121	52	77	19.4	13.5	10.6	8.4	206	149.8	179.9	183.9
2007	6	58706	71.7607	66	130.5	121	52	22.6	19.4	13.5	10.6	191	206	149.8	179.9
2007	7	61284	76.4917	220	66	130.5	121	23.8	22.6	19.4	13.5	86.8	191	206	149.8
2007	8	62470	85.3325	8	220	66	130.5	28.3	23.8	22.6	19.4	240.9	86.8	191	206
2007	9	75433	86.3664	227	8	220	66	24.8	28.3	23.8	22.6	127	240.9	86.8	191
2007	10	91181	90.3209	142	227	8	220	18.7	24.8	28.3	23.8	127.9	127	240.9	86.8
2007	11	76359	60.3954	33.5	142	227	8	13	18.7	24.8	28.3	141.1	127.9	127	240.9
2007	12	75023	65.804	1611	33.5	142	227	9	13	18.7	24.8	174.1	141.1	127.9	127
2008	1	66490	49.7257	24	1611	33.5	142	5.6	9	13	18.7	165.4	174.1	141.1	127.9
2008	2	65863	72.099	66	24	1611	33.5	5.4	5.6	9	13	211.4	165.4	174.1	141.1
2008	3	65903	81.1082	127.5	66	24	1611	10.3	5.4	5.6	9	191.5	211.4	165.4	174.1
2008	4	61361	78.8453	198	127.5	66	24	14	10.3	5.4	5.6	147.9	191.5	211.4	165.4
2008	5	58876	82.737	236.5	198	127.5	66	17.9	14	10.3	5.4	141.9	147.9	191.5	211.4
2008	6	58965	71.1047	237	236.5	198	127.5	20.8	17.9	14	10.3	109.2	141.9	147.9	191.5
2008	7	61253	62.6363	18	237	236.5	198	26.2	20.8	17.9	14	174	109.2	141.9	147.9
2008	8	63076	81.8053	186	18	237	236.5	26.8	26.2	20.8	17.9	151.7	174	109.2	141.9
2008	9	73652	97.7222	240.5	186	18	237	23.8	26.8	26.2	20.8	128.9	151.7	174	109.2
2008	10	93213	84.4338	160.5	240.5	186	18	19.1	23.8	26.8	26.2	126.3	128.9	151.7	174
2008	11	68816	70.8685	72	160.5	240.5	186	13.2	19.1	23.8	26.8	130.5	126.3	128.9	151.7
2008	12	72563	70.9481	1634	72	160.5	240.5	9.7	13.2	19.1	23.8	194.5	130.5	126.3	128.9
2009	1	64135	69.0139	117.5	1634	72	160.5	6.7	9.7	13.2	19.1	166.4	194.5	130.5	126.3
2009	2	63532	66.2222	41.5	117.5	1634	72	7.6	6.7	9.7	13.2	120	166.4	194.5	130.5
2009	3	65285	72.9996	85	41.5	117.5	1634	9.7	7.6	6.7	9.7	158.9	120	166.4	194.5
2009	4	59320	97.0469	107	85	41.5	117.5	15.4	9.7	7.6	6.7	221.5	158.9	120	166.4
2009	5	55942	84.5189	156	107	85	41.5	19.6	15.4	9.7	7.6	161.2	221.5	158.9	120
2009	6	54521	83.2669	195.5	156	107	85	21.9	19.6	15.4	9.7	82.6	161.2	221.5	158.9
2009	7	58080	76.2379	99	195.5	156	107	25.8	21.9	19.6	15.4	111.9	82.6	161.2	221.5
2009	8	58424	111.1929	249	99	195.5	156	25.8	25.8	21.9	19.6	142.5	111.9	82.6	161.2
2009	9	79777	89.1802	46	249	99	195.5	22.4	25.8	25.8	21.9	130.9	142.5	111.9	82.6
2009	10	95537	52.858	288.5	46	249	99	18.7	22.4	25.8	25.8	141.6	130.9	142.5	111.9
2009	11	71791	52.5274	152.5	288.5	46	249	13.3	18.7	22.4	25.8	96.1	141.6	130.9	142.5
2009	12	70366	53.8961	1873	152.5	288.5	46	8.9	13.3	18.7	22.4	168.1	96.1	141.6	130.9
2010	1	62070	75	14	1873	152.5	288.5	7	8.9	13.3	18.7	207.3	168.1	96.1	141.6
2010	2	63262	87	113	14	1873	152.5	6.4	7	8.9	13.3	89.9	207.3	168.1	96.1
2010	3	66230	83	152.5	113	14	1873	8.9	6.4	7	8.9	113.1	89.9	207.3	168.1
2010	4	60216	115	184.5	152.5	113	14	12	8.9	6.4	7	123.7	113.1	89.9	207.3
2010	5	57752	87	81.5	184.5	152.5	113	18.5	12	8.9	6.4	197.4	123.7	113.1	89.9
2010	6	58083	76	93.5	81.5	184.5	152.5	22.9	18.5	12	8.9	167.6	197.4	123.7	113.1
2010	7	54720	87	62.5	93.5	81.5	184.5	27.7	22.9	18.5	12	200.4	167.6	197.4	123.7
2010	8	54523	98	24.5	62.5	93.5	81.5	29	27.7	22.9	18.5	243.8	200.4	167.6	197.4
2010	9	69381	104	386	24.5	62.5	93.5	24.8	29	27.7	22.9	164.2	243.8	200.4	167.6
2010	10	83947	95	194.5	386	24.5	62.5	18.6	24.8	29	27.7	86.4	164.2	243.8	200.4
2010	11	72437	101	107	194.5	386	24.5	13.6	18.6	24.8	29	147.5	86.4	164.2	243.8
2010	12	74616	52	128	107	194.5	386	10.2	13.6	18.6	24.8	190.5	147.5	86.4	164.2
