"name","d1","d2"
"Noah","a","x"
"William","b","z"
"Alfred","b","z"
"Carl","c","z"
"Aksel","b","z"
"Emil","c","z"
"Oscar","a","x"
"Malthe","b","x"
"Oliver","a","z"
"Arthur","a","z"
"Somchai","a","z"
"Prasoet","c","z"
"Sombun","c","z"
"Somsak","a","x"
"Narong","b","z"
"Prasit","a","x"
"Somphon","c","y"
"Sombat","a","x"
"Udom","a","x"
"Wichian","c","y"
"Mohammad","c","y"
"Abdullah","c","y"
"Fahad","c","y"
"Khaled","a","z"
"Ali","b","z"
"Yousef","a","x"
"Ahmed","b","z"
"Abdulaziz","b","z"
"Faisal","b","z"
"Bader","c","y"
"Muhamad","c","z"
"Ahmad","c","x"
"Adam","b","z"
"Amar","c","z"
"Wan","a","z"
"Iman","c","z"
"Harraz","c","z"
"Izz","b","z"
"Umar","c","y"
"Aariz","b","z"
"Sun","b","z"
"Raza","a","z"
"Pan","a","z"
"Zan","b","z"
"Song","b","z"
"Jon","a","z"
"Lamin","c","y"
"Roi","b","z"
"Mao","a","z"
"Ba","b","z"
"Frida","c","z"
"Olivia","c","x"
"Alma","b","z"
"Ella","b","z"
"Agnes","b","z"
"Emma","b","z"
"Ellie","a","z"
"Luna","c","z"
"Sofia","a","z"
"Karla","b","z"
"Somchit","a","z"
"Nittaya","a","z"
"Prani","b","z"
"Kanchana","b","z"
"Sukanya","b","z"
"Mali","c","y"
"Wilai","a","z"
"Watsana","b","z"
"Rattana","a","z"
"Wanphen","c","z"
"Fatma","b","z"
"Mariam","a","x"
"Hussa","c","z"
"Sherifa","c","y"
"Sara","c","y"
"Reem","a","z"
"Aisha","b","x"
"Dalal","a","x"
"Lulwa","a","z"
"Shaikha","a","x"
"Min","c","z"
"Lin","b","z"
"Yu","a","z"
"Lei","a","z"
"Ni","b","y"
"Ye","b","z"
"Yin","a","z"
"Wei","c","z"
"Yan","b","z"
"Yi","c","y"
"Nur","c","z"
"Wan","a","z"
"Nurul","b","z"
"Aisyah","b","z"
"Maryam","c","z"
"Siti","a","z"
"Dhia","c","y"
"Naura","b","y"
"Ayra","c","z"
"Puteri","c","z"
