YEAR,MONTH,JTAR,UR
1998,1,0.63,3.6 
1998,2,0.61,3.7 
1998,3,0.57,4.1 
1998,4,0.56,4.3 
1998,5,0.54,4.3 
1998,6,0.52,4.1 
1998,7,0.51,3.9 
1998,8,0.5,4.3 
1998,9,0.49,4.3 
1998,10,0.48,4.3 
1998,11,0.47,4.3 
1998,12,0.47,4.1 
1999,1,0.48,4.5 
1999,2,0.48,4.7 
1999,3,0.48,5.0 
1999,4,0.47,5.0 
1999,5,0.46,4.9 
1999,6,0.46,4.8 
1999,7,0.47,4.7 
1999,8,0.47,4.7 
1999,9,0.48,4.6 
1999,10,0.49,4.6 
1999,11,0.49,4.4 
1999,12,0.5,4.3 
2000,1,0.51,4.6 
2000,2,0.52,4.9 
2000,3,0.54,5.2 
2000,4,0.56,5.1 
2000,5,0.56,4.8 
2000,6,0.58,4.7 
2000,7,0.6,4.5 
2000,8,0.61,4.6 
2000,9,0.62,4.7 
2000,10,0.64,4.6 
2000,11,0.65,4.5 
2000,12,0.65,4.4 
2001,1,0.65,4.7 
2001,2,0.64,4.8 
2001,3,0.63,5.1 
2001,4,0.62,5.1 
2001,5,0.61,5.1 
2001,6,0.61,5.0 
2001,7,0.6,4.9 
2001,8,0.58,5.0 
2001,9,0.57,5.3 
2001,10,0.54,5.2 
2001,11,0.52,5.2 
2001,12,0.51,5.0 
2002,1,0.5,5.2 
2002,2,0.51,5.4 
2002,3,0.52,5.7 
2002,4,0.52,5.6 
2002,5,0.53,5.6 
2002,6,0.53,5.5 
2002,7,0.54,5.2 
2002,8,0.55,5.4 
2002,9,0.55,5.4 
2002,10,0.56,5.4 
2002,11,0.56,5.1 
2002,12,0.57,5.0 
2003,1,0.58,5.4 
2003,2,0.59,5.3 
2003,3,0.6,5.8 
2003,4,0.61,5.8 
2003,5,0.61,5.6 
2003,6,0.62,5.3 
2003,7,0.63,5.1 
2003,8,0.65,5.0 
2003,9,0.67,5.2 
2003,10,0.7,5.1 
2003,11,0.72,5.0 
2003,12,0.75,4.5 
2004,1,0.76,4.9 
2004,2,0.76,5.0 
2004,3,0.77,5.0 
2004,4,0.78,5.0 
2004,5,0.8,4.8 
2004,6,0.82,4.6 
2004,7,0.83,4.8 
2004,8,0.84,4.7 
2004,9,0.86,4.6 
2004,10,0.88,4.7 
2004,11,0.91,4.4 
2004,12,0.92,4.1 
2005,1,0.91,4.5 
2005,2,0.91,4.7 
2005,3,0.93,4.8 
2005,4,0.94,4.7 
2005,5,0.94,4.6 
2005,6,0.95,4.2 
2005,7,0.96,4.3 
2005,8,0.96,4.2 
2005,9,0.96,4.2 
2005,10,0.98,4.5 
2005,11,0.99,4.4 
2005,12,1.01,4.0 
2006,1,1.03,4.5 
2006,2,1.04,4.2 
2006,3,1.05,4.4 
2006,4,1.05,4.3 
2006,5,1.07,4.1 
2006,6,1.07,4.1 
2006,7,1.08,4.0 
2006,8,1.07,4.1 
2006,9,1.07,4.2 
2006,10,1.06,4.2 
2006,11,1.06,3.9 
2006,12,1.06,3.7 
2007,1,1.06,4.0 
2007,2,1.05,4.1 
2007,3,1.05,4.2 
2007,4,1.07,4.0 
2007,5,1.07,3.8 
2007,6,1.07,3.6 
2007,7,1.06,3.5 
2007,8,1.05,3.7 
2007,9,1.03,4.0 
2007,10,1.01,4.0 
2007,11,0.98,3.7 
2007,12,0.98,3.5 
2008,1,0.97,3.9 
2008,2,0.96,4.1 
2008,3,0.96,4.1 
2008,4,0.96,4.1 
2008,5,0.95,4.0 
2008,6,0.92,3.9 
2008,7,0.89,3.8 
2008,8,0.86,4.1 
2008,9,0.83,4.1 
2008,10,0.79,3.8 
2008,11,0.75,3.9 
2008,12,0.71,4.1 
2009,1,0.64,4.2 
2009,2,0.57,4.6 
2009,3,0.52,5.1 
2009,4,0.49,5.2 
2009,5,0.46,5.2 
2009,6,0.44,5.2 
2009,7,0.43,5.4 
2009,8,0.42,5.4 
2009,9,0.43,5.5 
2009,10,0.44,5.2 
2009,11,0.44,5.0 
2009,12,0.44,4.8 
2010,1,0.45,4.9 
2010,2,0.46,5.0 
2010,3,0.48,5.3 
2010,4,0.49,5.4 
2010,5,0.5,5.2 
2010,6,0.51,5.2 
2010,7,0.53,5.0 
2010,8,0.54,5.1 
2010,9,0.55,5.1 
2010,10,0.56,5.0 
2010,11,0.58,4.8 
2010,12,0.59,4.6 
2011,1,0.6,4.8 
2011,2,0.62,4.6 
2011,3,0.62,4.9
2011,4,0.62,5.0
2011,5,0.61,4.7
2011,6,0.62,4.7
2011,7,0.64,4.7
2011,8,0.65,4.5
2011,9,0.67,4.2 
2011,10,0.69,4.4 
2011,11,0.71,4.3 
2011,12,0.72,4.2 
2012,1,0.74,4.5 
2012,2,0.75,4.4 
2012,3,0.77,4.7 
2012,4,0.78,4.8 
2012,5,0.79,4.5 
2012,6,0.8,4.4 
2012,7,0.81,4.4 
2012,8,0.82,4.2 
2012,9,0.81,4.2 
2012,10,0.82,4.1 
2012,11,0.82,4.0 
2012,12,0.83,4.0 
2013,1,0.84,4.2 
2013,2,0.85,4.2 
2013,3,0.87,4.3 
2013,4,0.88,4.4 
2013,5,0.9,4.2 
2013,6,0.92,3.9 
2013,7,0.93,3.9 
2013,8,0.95,4.1 
2013,9,0.96,3.9 
2013,10,0.99,4.0 
2013,11,1.01,3.8 
2013,12,1.03,3.4 
2014,1,1.04,3.7 
2014,2,1.05,3.6 
2014,3,1.07,3.8 
2014,4,1.07,3.9 
2014,5,1.08,3.6 
2014,6,1.1,3.7 
2014,7,1.1,3.8 
2014,8,1.1,3.5 
2014,9,1.1,3.5 
2014,10,1.1,3.5 
2014,11,1.12,3.3 
2014,12,1.14,3.2 
2015,1,1.15,3.5 
2015,2,1.15,3.5 
2015,3,1.16,3.5 
2015,4,1.16,3.6 
2015,5,1.18,3.4 
2015,6,1.19,3.4 
2015,7,1.2,3.4 
2015,8,1.22,3.4 
2015,9,1.23,3.4 
2015,10,1.24,3.1 
2015,11,1.26,3.2 
2015,12,1.28,3.1 
2016,1,1.29,3.2 
2016,2,1.29,3.2 
2016,3,1.31,3.3 
2016,4,1.33,3.4 
2016,5,1.35,3.2 
2016,6,1.36,3.1 
2016,7,1.37,3.0 
2016,8,1.37,3.2 
2016,9,1.38,3.0 
2016,10,1.4,2.9 
2016,11,1.41,3.0 
2016,12,1.43,2.9 
2017,1,1.43,3.0 
2017,2,1.45,2.8 
2017,3,1.45,2.8 
2017,4,1.48,2.9 
2017,5,1.49,3.1 
2017,6,1.5,2.8 
2017,7,1.51,2.8 
2017,8,1.52,2.8 
2017,9,1.53,2.8 
2017,10,1.55,2.7 
2017,11,1.56,2.6 
2017,12,1.58,2.6 
2018,1,1.6,2.4 
2018,2,1.59,2.5 
2018,3,1.59,2.5 
2018,4,1.59,2.6 
2018,5,1.6,2.3 
2018,6,1.62,2.5 
2018,7,1.63,2.5 
2018,8,1.63,2.5 
2018,9,1.64,2.4 
2018,10,1.63,2.4 
2018,11,1.63,2.4 
2018,12,1.62,2.3 
2019,1,1.63,2.4 
2019,2,1.63,2.3 
2019,3,1.63,2.5 
2019,4,1.63,2.6 
2019,5,1.62,2.4 
2019,6,1.61,2.3 
2019,7,1.6,2.3 
2019,8,1.6,2.3 
2019,9,1.59,2.4 
2019,10,1.59,2.4 
2019,11,1.57,2.2 
2019,12,1.56,2.1 
2020,1,1.49,2.3 
2020,2,1.44,2.3 
2020,3,1.4,2.6 
2020,4,1.31,2.8 
2020,5,1.19,2.9 
2020,6,1.12,2.8 
2020,7,1.08,2.9 
2020,8,1.05,3.0 
2020,9,1.04,3.0 
2020,10,1.04,3.1 
2020,11,1.05,2.8 
2020,12,1.06,2.8 
2021,1,1.08,2.9 
2021,2,1.09,2.8 
2021,3,1.1,2.7 
2021,4,1.1,3.0 
2021,5,1.11,3.1 
2021,6,1.13,3.0 
