年度	リーグ	順位	選手	チーム	打率	試合	打席	打数	得点	安打	二塁打	三塁打	本塁打	塁打	打点	盗塁	盗塁刺	犠打	犠飛	四球	故意四	死球	三振	併殺打	長打率	出塁率
2023	P	1	頓宮　裕真	(オ)	0.307	113	451	401	49	123	23	0	16	194	49	0	0	1	2	41	0	6	69	11	0.484	0.378
2023	P	2	近藤　健介	(ソ)	0.303	143	613	492	75	149	33	0	26	260	87	3	4	0	6	109	7	6	117	7	0.528	0.431
2023	P	3	柳田　悠岐	(ソ)	0.299	143	625	546	57	163	29	3	22	264	85	1	0	0	6	64	1	9	97	9	0.484	0.378
2023	P	4	森　友哉	(オ)	0.294	110	453	384	49	113	24	2	18	195	64	4	1	1	7	54	4	7	61	9	0.508	0.385
2023	P	5	松本　剛	(日)	0.276	134	561	507	51	140	16	2	3	169	30	12	12	7	3	37	3	7	57	11	0.333	0.332
2023	P	6	紅林　弘太郎	(オ)	0.275	127	482	443	37	122	19	1	8	167	39	4	6	7	3	28	0	1	63	19	0.377	0.318
2023	P	7	中村　晃	(ソ)	0.274	136	585	511	52	140	13	2	5	172	37	0	2	7	4	60	3	3	53	8	0.337	0.351
2023	P	8	浅村　栄斗	(楽)	0.274	143	601	522	64	143	20	0	26	241	78	2	1	0	1	75	4	3	108	9	0.462	0.368
2023	P	9	中川　圭太	(オ)	0.269	135	563	506	66	136	29	5	12	211	55	5	5	6	1	43	0	7	90	9	0.417	0.334
2023	P	10	万波　中正	(日)	0.265	141	582	533	69	141	33	0	25	249	74	2	1	2	2	41	2	4	138	12	0.467	0.321
2023	P	11	辰己　涼介	(楽)	0.263	133	495	434	45	114	16	5	9	167	43	13	4	8	1	40	0	12	99	3	0.385	0.341
2023	P	12	外崎　修汰	(西)	0.26	136	571	503	60	131	28	3	12	201	54	26	3	3	4	56	0	5	114	11	0.4	0.338
2023	P	13	マキノン	(西)	0.259	127	514	464	50	120	17	2	15	186	50	1	1	0	2	48	0	0	91	7	0.401	0.327
2023	P	14	小深田　大翔	(楽)	0.258	134	549	477	67	123	8	6	5	158	37	36	6	20	1	48	0	3	83	8	0.331	0.329
2023	P	15	今宮　健太	(ソ)	0.255	126	484	427	38	109	22	0	9	158	48	4	0	24	4	27	1	2	58	14	0.37	0.3
2023	P	16	マルティネス	(日)	0.246	119	444	386	39	95	24	0	15	164	66	0	4	0	3	44	0	11	99	15	0.425	0.338
2023	P	17	宗　佑磨	(オ)	0.245	122	478	428	38	105	17	3	2	134	22	1	1	9	1	36	1	4	55	9	0.313	0.309
2023	P	18	ポランコ	(ロ)	0.242	125	497	447	43	108	15	0	26	201	75	0	0	0	3	47	5	0	92	3	0.45	0.312
2023	P	19	安田　尚憲	(ロ)	0.238	122	472	416	33	99	24	0	9	150	43	2	0	0	5	49	2	2	95	10	0.361	0.318
2023	P	20	野村　佑希	(日)	0.236	125	473	423	42	100	21	1	13	162	43	4	1	0	4	42	0	4	112	3	0.383	0.309
2023	P	21	山口　航輝	(ロ)	0.235	115	474	421	46	99	21	0	14	162	57	0	0	0	5	43	6	5	122	7	0.385	0.31
2023	P	22	中村　奨吾	(ロ)	0.22	137	584	508	61	112	23	0	11	168	48	3	1	13	4	52	2	7	89	20	0.331	0.299
2022	P	1	松本　剛	(日)	0.347	117	445	395	48	137	23	2	3	173	44	21	5	10	4	32	5	4	42	13	0.438	0.398
