# 東京都の人口（推計）令和6年1月1日
市区町村,人口,面積(Km²)
千代田区,68393,11.66
中央区,175891,10.21
港区,266899,20.36
新宿区,354032,18.22
文京区,245469,11.29
台東区,220711,10.11
墨田区,280989,13.77
江東区,536787,42.99
品川区,423239,22.85
目黒区,285526,14.67
大田区,745243,61.86
世田谷区,939548,58.05
渋谷区,243594,15.11
中野区,347203,15.59
杉並区,589242,34.06
豊島区,306059,13.01
北区,359348,20.61
荒川区,220313,10.16
板橋区,586459,32.22
練馬区,753257,48.08
足立区,696439,53.25
葛飾区,455785,34.8
江戸川区,690867,49.9
八王子市,578175,186.38
立川市,184967,24.36
武蔵野市,150281,10.98
三鷹市,195288,16.42
青梅市,130712,103.31
府中市,262544,29.43
昭島市,114876,17.34
調布市,243752,21.58
町田市,432259,71.55
小金井市,127261,11.3
小平市,200532,20.51
日野市,190937,27.55
東村山市,152088,17.14
国分寺市,131572,11.46
国立市,76516,8.15
福生市,55959,10.16
狛江市,83514,6.39
東大和市,83681,13.42
清瀬市,75981,10.23
東久留米市,114822,12.88
武蔵村山市,69859,15.32
多摩市,146121,21.01
稲城市,94881,17.97
羽村市,53959,9.9
あきる野市,78513,73.47
西東京市,207380,15.75
瑞穂町,31227,16.85
日の出町,16664,28.07
檜原村,1866,105.41
奥多摩町,4344,225.53
大島町,6655,90.76
利島村,331,4.04
新島村,2253,27.54
神津島村,1742,18.58
三宅村,2139,55.26
御蔵島村,301,20.39
八丈町,6760,72.24
青ヶ島村,162,5.95
小笠原村,2931,113.04
