"name","zipcode","addresse","LocName","latitude","longitude","iConf","iLvl"
"稲荷神社【五十稲荷神社】","101-0052","東京都千代田区神田小川町3-9","東京都/千代田区/神田小川町/三丁目/９番","139.76190","35.69411","5","7"
"稲荷神社【亀住稲荷神社】","101-0021","東京都千代田区外神田5-4-7","東京都/千代田区/外神田/五丁目/４番","139.77281","35.70456","5","7"
"太田姫稲荷神社","101-0062","東京都千代田区神田駿河台1-2-3","東京都/千代田区/神田駿河台/一丁目/２番","139.76303","35.69655","5","7"
"御宿稲荷神社","101-0047","東京都千代田区内神田1-6-8","東京都/千代田区/内神田/一丁目/６番","139.76653","35.68983","5","7"
"神田神社【神田明神】","101-0021","東京都千代田区外神田2-16-2","東京都/千代田区/外神田/二丁目/１６番","139.76772","35.70213","5","7"
"佐竹稲荷神社","101-0047","東京都千代田区内神田3-10-1","東京都/千代田区/内神田/三丁目/１０番","139.76926","35.69121","5","7"
"真徳稲荷神社","101-0048","東京都千代田区神田司町2-4-5","東京都/千代田区/神田司町/二丁目/４番","139.76773","35.69337","5","7"
"築土神社","102-0073","東京都千代田区九段北1-14-21","東京都/千代田区/九段北/一丁目/１４番","139.74939","35.69582","5","7"
"東京大神宮","102-0071","東京都千代田区富士見2-4-1","東京都/千代田区/富士見/二丁目/４番","139.74631","35.69993","5","7"
"日枝神社【山王さま】","100-0014","東京都千代田区永田町2-10-5","東京都/千代田区/永田町/二丁目/１０番","139.73984","35.67485","5","7"
"平河天満宮","102-0093","東京都千代田区平河町1-7-5","東京都/千代田区/平河町/一丁目/７番","139.74088","35.68245","5","7"
"三崎稲荷神社","101-0061","東京都千代田区三崎町2-9-12","東京都/千代田区/神田三崎町/二丁目/９番","139.75485","35.70131","5","7"
"柳森神社【方除いなり】","101-0041","東京都千代田区神田須田町2-25-1","東京都/千代田区/神田須田町/二丁目/２５番地","139.77400","35.69680","5","7"
"朝日稲荷神社","103-0026","東京都中央区銀座3-8-10","東京都/中央区/銀座/三丁目/８番","139.76749","35.67171","5","7"
"池洲稲荷神社","103-0012","東京都中央区日本橋堀留町2-4-10","東京都/中央区/日本橋堀留町/二丁目/４番","139.77997","35.68945","5","7"
"稲荷神社【富沢稲荷神社】","103-0006","東京都中央区日本橋富沢町7-18","東京都/中央区/日本橋富沢町/７番","139.78297","35.68854","5","7"
"今村幸稲荷神社","104-0032","東京都中央区八丁堀3-24-11","東京都/中央区/八丁堀/三丁目/２４番","139.77820","35.67503","5","7"
"永久稲荷神社","103-0015","東京都中央区日本橋箱崎町22-11","東京都/中央区/日本橋箱崎町/２２番","139.78584","35.68094","5","7"
"於岩稲荷田宮神社","104-0033","東京都中央区新川2-25-11","東京都/中央区/新川/二丁目/２５番","139.78310","35.67479","5","7"
"大原稲荷神社","103-0026","東京都中央区日本橋兜町11-3","東京都/中央区/日本橋兜町/１１番","139.77644","35.68020","5","7"
"笠間稲荷神社【紋三郎さま】","103-0007","東京都中央区日本橋浜町2-11-6","東京都/中央区/日本橋浜町/二丁目/１１番","139.78517","35.68801","5","7"
"小網神社","103-0016","東京都中央区日本橋小網町16-23","東京都/中央区/日本橋小網町/１６番","139.78033","35.68459","5","7"
"三光稲荷神社","103-0012","東京都中央区日本橋堀留町2-1-13","東京都/中央区/日本橋堀留町/二丁目/１番","139.78127","35.68794","5","7"
"白旗稲荷神社","103-0021","東京都中央区日本橋本石町4-5-16","東京都/中央区/日本橋本石町/四丁目/５番","139.77084","35.68900","5","7"
"水天宮","103-0014","東京都中央区日本橋蠣殻町2-4-1","東京都/中央区/日本橋蛎殻町/二丁目/４番","139.78505","35.68357","5","7"
"末廣神社","103-0013","東京都中央区日本橋人形町2-25-20","東京都/中央区/日本橋人形町/二丁目/２５番","139.78410","35.68687","5","7"
"椙森神社","103-0012","東京都中央区日本橋堀留町1-10-2","東京都/中央区/日本橋堀留町/一丁目/１０番","139.77972","35.68878","5","7"
"住吉神社","104-0051","東京都中央区佃1-1-14","東京都/中央区/佃/一丁目/１番","139.78304","35.66818","5","7"
"宝田神社","103-0023","東京都中央区日本橋本町3-10","東京都/中央区/日本橋本町/三丁目/１０番","139.77710","35.68934","5","7"
"鐵砲洲稲荷神社","104-0043","東京都中央区湊1-6-7","東京都/中央区/湊/一丁目/６番","139.77971","35.67253","5","7"
"天祖神社","104-0032","東京都中央区八丁堀3-6-6","東京都/中央区/八丁堀/三丁目/６番","139.77448","35.67620","5","7"
"常盤稲荷神社","103-0023","東京都中央区日本橋本町1-8-11","東京都/中央区/日本橋本町/一丁目/８番","139.77774","35.68534","5","7"
"豊岩稲荷神社","104-0061","東京都中央区銀座7-8-14","東京都/中央区/銀座/七丁目/８番","139.76245","35.66914","5","7"
"鳥居稲荷神社","103-0026","東京都中央区日本橋兜町20-2","東京都/中央区/日本橋兜町/２０番","139.77650","35.67857","5","7"
"波除稲荷神社","104-0045","東京都中央区築地6-20-37","東京都/中央区/築地/六丁目/２０番","139.77254","35.66393","5","7"
"浜町神社","103-0007","東京都中央区日本橋浜町3-3-3","東京都/中央区/日本橋浜町/三丁目/３番","139.78802","35.68486","5","7"
"福徳神社","103-0022","東京都中央区日本橋室町2-4-14","東京都/中央区/日本橋室町/二丁目/４番","139.77390","35.68730","5","7"
"松島神社【おとりさま】","103-0013","東京都中央区日本橋人形町2-15-2","東京都/中央区/日本橋人形町/二丁目/１５番","139.78561","35.68482","5","7"
"明徳稲荷神社","103-0025","東京都中央区日本橋茅場町1-6-3","東京都/中央区/日本橋茅場町/一丁目/６番","139.77882","35.68098","5","7"
"稲荷神社【腰掛稲荷】","112-0015","東京都文京区目白台3-26-1","東京都/文京区/目白台/三丁目/２６番","139.72484","35.71915","5","7"
"稲荷神社【大鳥神社・おとり様】","112-0011","東京都文京区千石4-25-15","東京都/文京区/千石/四丁目/２５番","139.73988","35.73013","5","7"
"稲荷神社【満足稲荷】","113-0022","東京都文京区千駄木5-2-8","東京都/文京区/千駄木/五丁目/２番","139.76041","35.72545","5","7"
"稲荷神社【出世稲荷】","113-0033","東京都文京区本郷1-33-17","東京都/文京区/本郷/一丁目/３３番","139.75481","35.70633","5","7"
"今宮神社【今宮五社】","112-0013","東京都文京区音羽1-4-4","東京都/文京区/音羽/一丁目/４番","139.73129","35.71246","5","7"
"北野神社【牛天神】","112-0003","東京都文京区春日1-5-2","東京都/文京区/春日/一丁目/５番","139.74773","35.70794","5","7"
"小石川大神宮","112-0002","東京都文京区小石川2-5-7","東京都/文京区/小石川/二丁目/５番","139.74995","35.70934","5","7"
"幸神社","112-0014","東京都文京区関口2-6-1","東京都/文京区/関口/二丁目/６番","139.72636","35.71141","5","7"
"小日向神社【八幡さま】","112-0006","東京都文京区小日向2-16-6","東京都/文京区/小日向/二丁目/１６番","139.73488","35.71065","5","7"
"御霊社【畑の稲荷】","113-0034","東京都文京区湯島2-11-15","東京都/文京区/湯島/二丁目/１１番","139.76462","35.70462","5","7"
"櫻木神社","113-0033","東京都文京区本郷4-3-1","東京都/文京区/本郷/四丁目/３番","139.75908","35.70760","5","7"
"正八幡神社【目白八幡宮】","112-0014","東京都文京区関口2-3-21","東京都/文京区/関口/二丁目/３番","139.72968","35.71146","5","7"
"水神社","112-0015","東京都文京区目白台1-1-9","東京都/文京区/目白台/一丁目/１番","139.72264","35.71272","5","7"
"諏訪神社","112-0004","東京都文京区後楽2-18-18","東京都/文京区/後楽/二丁目/１８番","139.74516","35.70681","5","7"
"妻恋神社","113-0034","東京都文京区湯島3-2-6","東京都/文京区/湯島/三丁目/２番","139.76759","35.70361","5","7"
"天祖神社【神明宮】","113-0021","東京都文京区本駒込3-40-1","東京都/文京区/本駒込/三丁目/４０番","139.75409","35.73048","5","7"
"根津神社【根津権現】","113-0031","東京都文京区根津1-28-9","東京都/文京区/根津/一丁目/２８番","139.76077","35.72038","5","7"
"白山神社【はくさんさま】","112-0001","東京都文京区白山5-31-26","東京都/文京区/白山/五丁目/３１番","139.75081","35.72219","5","7"
"簸川神社【ひかわさま】","112-0011","東京都文京区千石2-10-10","東京都/文京区/千石/二丁目/１０番","139.74060","35.72193","5","7"
"吹上稲荷神社","112-0012","東京都文京区大塚5-21-11","東京都/文京区/大塚/五丁目/２１番","139.72943","35.72254","5","7"
"富士神社【駒込富士】","〒 113-0021　東京都文京区本駒込5-7-20","東京都文京区本駒込5-7-20","東京都/文京区/本駒込/五丁目/７番","139.75134","35.73107","5","7"
"三河稲荷神社【三九様】","113-0033","東京都文京区本郷2-20-5","東京都/文京区/本郷/二丁目/２０番","139.75923","35.70486","5","7"
"湯島天満宮【湯島天神】","113-0034","東京都文京区湯島3-30-1","東京都/文京区/湯島/三丁目/３０番","139.76791","35.70772","5","7"
"秋葉神社","111-0036","東京都台東区松が谷3-10-7","東京都/台東区/松が谷/三丁目/１０番","139.78586","35.71646","5","7"
"浅草神社【三社様】","111-0032","東京都台東区浅草2-3-1","東京都/台東区/浅草/二丁目/３番","139.79549","35.71363","5","7"
"熱田神社","111-0024","東京都台東区今戸2-13-6","東京都/台東区/今戸/二丁目/１３番","139.80244","35.72120","5","7"
"石塚稲荷神社【石塚稲荷】","111-0052","東京都台東区柳橋1-1-15","東京都/台東区/柳橋/一丁目/１番","139.78833","35.69599","5","7"
"銀杏岡八幡神社【銀杏八幡さま】","111-0053","東京都台東区浅草橋1-29-11","東京都/台東区/浅草橋/一丁目/２９番","139.78571","35.69800","5","7"
"稲荷神社【千束稲荷神社】","110-0012","東京都台東区竜泉2-19-3","東京都/台東区/竜泉/二丁目/１９番","139.79050","35.72719","5","7"
"稲荷神社【揖取稲荷神社】","111-0051","東京都台東区蔵前2-2-11","東京都/台東区/蔵前/二丁目/２番","139.78967","35.70190","5","7"
